unique_value,ecc_count
484.000000,-1717
485.000000,-1789
486.000000,-1746
487.000000,-1738
488.000000,-1760
489.000000,-1829
490.000000,-1747
491.000000,-1806
492.000000,-1783
493.000000,-1818
494.000000,-1786
495.000000,-1842
496.000000,-1786
497.000000,-1714
498.000000,-1917
499.000000,-1856
500.000000,-1896
501.000000,-1811
502.000000,-1861
503.000000,-1886
504.000000,-1971
505.000000,-1838
506.000000,-1841
507.000000,-1860
508.000000,-1901
509.000000,-1947
510.000000,-1890
511.000000,-1829
512.000000,-1944
513.000000,-1807
514.000000,-1838
515.000000,-1875
516.000000,-1881
517.000000,-1871
518.000000,-1965
519.000000,-1825
520.000000,-1822
521.000000,-1778
522.000000,-1875
523.000000,-1819
524.000000,-1759
525.000000,-1816
526.000000,-1682
527.000000,-1844
528.000000,-1690
529.000000,-1736
530.000000,-1745
531.000000,-1643
532.000000,-1753
533.000000,-1555
534.000000,-1736
535.000000,-1674
536.000000,-1524
537.000000,-1624
538.000000,-1462
539.000000,-1550
540.000000,-1456
541.000000,-1467
542.000000,-1442
543.000000,-1532
544.000000,-1537
545.000000,-1401
546.000000,-1285
547.000000,-1322
548.000000,-1341
549.000000,-1276
550.000000,-1250
551.000000,-1275
552.000000,-1149
553.000000,-1232
554.000000,-1104
555.000000,-1114
556.000000,-1061
557.000000,-1030
558.000000,-972
559.000000,-983
560.000000,-926
561.000000,-924
562.000000,-859
563.000000,-856
564.000000,-855
565.000000,-893
566.000000,-747
567.000000,-753
568.000000,-735
569.000000,-742
570.000000,-659
571.000000,-615
572.000000,-579
573.000000,-584
574.000000,-546
575.000000,-502
576.000000,-509
577.000000,-424
578.000000,-331
579.000000,-399
580.000000,-332
581.000000,-319
582.000000,-314
583.000000,-354
584.000000,-205
585.000000,-263
586.000000,-127
587.000000,-116
588.000000,-179
589.000000,-159
590.000000,-14
591.000000,-70
592.000000,-18
593.000000,64
594.000000,19
595.000000,148
596.000000,122
597.000000,143
598.000000,161
599.000000,245
600.000000,220
601.000000,242
602.000000,312
603.000000,255
604.000000,334
605.000000,416
606.000000,355
607.000000,356
608.000000,430
609.000000,484
610.000000,442
611.000000,442
612.000000,468
613.000000,479
614.000000,522
615.000000,576
616.000000,578
617.000000,647
618.000000,548
619.000000,561
620.000000,636
621.000000,644
622.000000,688
623.000000,631
624.000000,717
625.000000,702
626.000000,735
627.000000,762
628.000000,854
629.000000,770
630.000000,817
631.000000,829
632.000000,722
633.000000,751
634.000000,798
635.000000,827
636.000000,847
637.000000,890
638.000000,862
639.000000,879
640.000000,948
641.000000,797
642.000000,837
643.000000,905
644.000000,973
645.000000,876
646.000000,960
647.000000,855
648.000000,903
649.000000,995
650.000000,865
651.000000,914
652.000000,930
653.000000,948
654.000000,994
655.000000,929
656.000000,956
657.000000,920
658.000000,935
659.000000,908
660.000000,933
661.000000,988
662.000000,964
663.000000,991
664.000000,978
665.000000,932
666.000000,956
667.000000,901
668.000000,964
669.000000,966
670.000000,960
671.000000,959
672.000000,942
673.000000,868
674.000000,918
675.000000,909
676.000000,949
677.000000,940
678.000000,968
679.000000,910
680.000000,859
681.000000,891
682.000000,900
683.000000,808
684.000000,890
685.000000,890
686.000000,879
687.000000,861
688.000000,844
689.000000,812
690.000000,829
691.000000,826
692.000000,816
693.000000,831
694.000000,818
695.000000,813
696.000000,798
697.000000,815
698.000000,791
699.000000,782
700.000000,742
701.000000,775
702.000000,703
703.000000,718
704.000000,712
705.000000,735
706.000000,672
707.000000,741
708.000000,720
709.000000,680
710.000000,685
711.000000,678
712.000000,645
713.000000,687
714.000000,652
715.000000,667
716.000000,614
717.000000,647
718.000000,610
719.000000,596
720.000000,596
721.000000,607
722.000000,588
723.000000,575
724.000000,592
725.000000,564
726.000000,581
727.000000,546
728.000000,555
729.000000,531
730.000000,559
731.000000,505
732.000000,545
733.000000,533
734.000000,485
735.000000,474
736.000000,462
737.000000,468
738.000000,482
739.000000,453
740.000000,465
741.000000,452
742.000000,414
743.000000,396
744.000000,450
745.000000,426
746.000000,366
747.000000,407
748.000000,388
749.000000,410
750.000000,353
751.000000,382
752.000000,354
753.000000,393
754.000000,371
755.000000,358
756.000000,349
757.000000,339
758.000000,349
759.000000,323
760.000000,298
761.000000,324
762.000000,298
763.000000,278
764.000000,286
765.000000,284
766.000000,294
767.000000,281
768.000000,242
769.000000,252
770.000000,250
771.000000,236
772.000000,271
773.000000,231
774.000000,258
775.000000,211
776.000000,228
777.000000,221
778.000000,225
779.000000,204
780.000000,223
781.000000,196
782.000000,193
783.000000,211
784.000000,198
785.000000,200
786.000000,171
787.000000,181
788.000000,173
789.000000,177
790.000000,161
791.000000,161
792.000000,182
793.000000,134
794.000000,156
795.000000,138
796.000000,145
797.000000,145
798.000000,157
799.000000,133
800.000000,142
801.000000,136
802.000000,127
803.000000,105
804.000000,113
805.000000,123
806.000000,103
807.000000,138
808.000000,121
809.000000,128
810.000000,100
811.000000,86
812.000000,96
813.000000,99
814.000000,87
815.000000,115
816.000000,81
817.000000,82
818.000000,98
819.000000,82
820.000000,75
821.000000,85
822.000000,74
823.000000,79
824.000000,71
825.000000,76
826.000000,76
827.000000,78
828.000000,71
829.000000,82
830.000000,55
831.000000,53
832.000000,62
833.000000,59
834.000000,68
835.000000,56
836.000000,51
837.000000,41
838.000000,61
839.000000,47
840.000000,46
841.000000,44
842.000000,54
843.000000,62
844.000000,43
845.000000,33
846.000000,45
847.000000,42
848.000000,47
849.000000,26
850.000000,45
851.000000,30
852.000000,30
853.000000,36
854.000000,32
855.000000,42
856.000000,34
857.000000,28
858.000000,35
859.000000,35
860.000000,17
861.000000,17
862.000000,19
863.000000,17
864.000000,27
865.000000,32
866.000000,26
867.000000,22
868.000000,27
869.000000,18
870.000000,23
871.000000,16
872.000000,19
873.000000,23
874.000000,22
875.000000,15
876.000000,13
877.000000,11
878.000000,10
879.000000,21
880.000000,17
881.000000,16
882.000000,12
883.000000,14
884.000000,12
885.000000,18
886.000000,14
887.000000,8
888.000000,9
889.000000,9
890.000000,8
891.000000,12
892.000000,7
893.000000,18
894.000000,10
895.000000,15
896.000000,9
897.000000,4
898.000000,12
899.000000,7
900.000000,9
901.000000,7
902.000000,8
903.000000,5
904.000000,7
905.000000,7
906.000000,2
907.000000,9
908.000000,5
909.000000,7
910.000000,2
911.000000,7
912.000000,7
913.000000,4
914.000000,9
915.000000,5
916.000000,5
917.000000,4
918.000000,7
919.000000,4
920.000000,7
921.000000,6
922.000000,4
923.000000,1
924.000000,4
925.000000,5
926.000000,4
927.000000,1
928.000000,2
929.000000,5
930.000000,3
931.000000,5
932.000000,4
933.000000,1
934.000000,2
935.000000,3
936.000000,3
937.000000,1
938.000000,2
939.000000,1
940.000000,2
941.000000,2
942.000000,1
944.000000,3
945.000000,1
946.000000,1
948.000000,1
949.000000,2
950.000000,1
951.000000,2
952.000000,1
953.000000,2
954.000000,3
955.000000,2
958.000000,2
959.000000,1
960.000000,1
963.000000,1
970.000000,1
971.000000,2
972.000000,1
985.000000,2
987.000000,1
998.000000,1
1005.000000,1
1011.000000,1
1016.000000,1
1018.000000,1
1023.000000,1
